status,confirmed,last_contacted,retailer,license,city,contact,phone,email,delivery,notes,price_points,pipeline_code,pipeline_label,region,completeness_score,price_tier
Active,true,2025-10-10,Northwest Cannabis,424599,Mount Vernon,Francisco Gonzalez,,nwdispensary@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",R2,R2 - Active but stale (>90 days),NW Washington,5,premium
,true,2025-10-10,CANNAZONE Old HWY 99,427742,Mount Vernon,Ryan or ashton,,vendors@cannazone.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",I3,I3 - Active dialogue/meeting,NW Washington,5,premium
,false,2025-10-10,CANNAZONE,430952,North Bend,,,,,"Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",I2,"I2 - Unconfirmed, some contact",Seattle Metro,3,premium
,true,2025-10-10,CANNAZONE,350641,Seattle,Fouad is the buyer/Owner,,cannazoneseattle@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",I3,I3 - Active dialogue/meeting,Seattle Metro,5,premium
,true,2025-02-25,Cannazone Tacoma (POT ZONE),434030,Tacoma,,,potzoneorders@gmail.com,,,,I2,I2 - Contacted/has notes,South Sound,2,unknown
,true,2025-03-12,CARAVAN CANNABIS COMPANY,435487,Bellingham,Lindsey is the buyer,(360) 392-8749,Caravanpurchasing@gmail.com,,"Called and talked to the manager who would love samples, I will get those ready for them. I will also email with welcome letter and menu link 03.12.25",$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/,I4,I4 - Samples sent,NW Washington,6,standard
,true,2025-03-12,CARAVAN CANNABIS COMPANY,420801,Burlington,Timbre is the buyer,(360) 755-0755,Caravanpurchasing@gmail.com,,"Called and talked to the manager who would love samples, I will get those ready for them. I will also email with welcome letter and menu link 03.12.25",$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/,I4,I4 - Samples sent,NW Washington,6,standard
,true,,Carters Cannabis,435566,East Wenatchee,Michael is the buyer,360-799-9297 - cell#  Store # (509) 201-0053,info@carterscannabis.com,,Emailed me with a request to get some samples of just a couple skus for his budtenders to try out. I will get those put together right away,,I4,I4 - Samples sent,Central WA,4,unknown
,true,2025-03-06,CASCADE HERB COMPANY,415094,Bellingham,,(360)778-2357 (360)927-9255,buyer.cascadeherb@gmail.com   cascadeherb@gmail.com,,"Justin-Owner Mackenzie-Mgr- sent a sample request for all locations, waiting on a response 02.07.25",,I4,I4 - Samples sent,NW Washington,4,unknown
,false,2025-03-06,CASCADE HERB COMPANY,414749,Ferndale,,360.306.8041,,,last ordered,,I2,"I2 - Unconfirmed, some contact",NW Washington,3,unknown
,false,2025-03-06,CASCADE HERB COMPANY,,Otis Orchards,Eric,509.927.9333,,,,,I2,"I2 - Unconfirmed, some contact",Other/Unclassified,3,unknown
Active,true,2025-02-06,CASCADE KROPZ,425539,Arlington,Jim is the Owner,Call his cell before you call the store 425-232-8054,cascadekropzorders@gmail.com,,"I talked with Jim, he would like to start  a hometown box with 4 of our strains and will keep me posted on how it is going 02.06.25",$3.00-1g /$10.00 - 3.5g/ $30 - 14g/ $60 - 28g - his home town box 3.5gs are $8.33 - wax is 3.33,R2,R2 - Active but stale (>90 days),Seattle Metro,6,premium
,false,,CATHLAMET CANNABIS COMPANY,433034,Cathlamet,,(360) 795-2029,,,,,I1,I1 - Unconfirmed cold lead,SW Washington,1,unknown
,false,2025-03-06,CHIMACUM CANNABIS,413492,Chimacum,,,,,,,I2,"I2 - Unconfirmed, some contact",Other/Unclassified,1,unknown
,true,2025-09-22,CINDER,422294,Spokane,Hannah Cook is the buyer,Hannah -purchaser. Cell: (509) 280-8556,Hannah@cindercannabis.com,,"Emailed Hannah and Mindy about a restock on our products, all 3 stores are getting really low or are out NC 06.05.25  Emailed Hannah about chating on the phone and rekindeling our relationship. Not sure why they stopped buying, offered to send samples to them of Flower and vapes to work our magic and get back in store. 09.22.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I5,I5 - Near order / has ordered,Eastern WA,6,premium
,true,2025-09-22,CINDER Downtown,423096,Spokane,Hannah Cook is the buyer,Hannah -purchaser. Cell: (509) 280-8556,Hannah@cindercannabis.com,,"Emailed Hannah and Mindy about a restock on our products, all 3 stores are getting really low or are out NC 06.05.25  Emailed Hannah about chating on the phone and rekindeling our relationship. Not sure why they stopped buying, offered to send samples to them of Flower and vapes to work our magic and get back in store. 09.22.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I5,I5 - Near order / has ordered,Eastern WA,6,premium
,true,2025-09-22,CINDER,414817,Spokane Valley,Hannah Cook is the buyer,Hannah -purchaser. Cell: (509) 280-8556,Hannah@cindercannabis.com,,"Emailed Hannah and Mindy about a restock on our products, all 3 stores are getting really low or are out NC 06.05.25  Emailed Hannah about chating on the phone and rekindeling our relationship. Not sure why they stopped buying, offered to send samples to them of Flower and vapes to work our magic and get back in store. 09.22.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I5,I5 - Near order / has ordered,Eastern WA,6,premium
Active,true,2025-02-06,Clear Choice Cannabis  72nd,439182,Tacoma,Kathleen is the buyer,253-999-7690 - Blaine's cell number,kathleen.r@findclearchoice.com,https://www.picktime.com/ClearChoiceDelivery,Likes to commuicate via text message - Called and talked to Blaine today who let me know he has 2 buyers at the moment - 1 for sodo location and one for the rest of the stores  02.06.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60 - 28g/   all live resin is $7,R2,R2 - Active but stale (>90 days),South Sound,7,standard
Active,true,2025-06-02,CLEAR CHOICE CANNABIS,421877,Bremerton,Geo Armani Lovinaria is the buyer,253-444-5444 -,geoarmani.l@findclearchoice.com,https://www.picktime.com/ClearChoiceDelivery,"Emailed Geo with a mock order and he approved, order is being delivered 03.03.25",$2.50-1g /$8 - 3.5g/ $30- 14g/ $60- 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),Peninsula/Islands,7,standard
Active,true,2025-06-02,CLEAR CHOICE CANNABIS,413358,Tacoma,Kathleen is the buyer,253-444-5444 -,kathleen.r@findclearchoice.com,https://www.picktime.com/ClearChoiceDelivery,"Emailed Kathleen a thank you for your order email, gave updated contact info, put samples on the order and will send stickers and brochures 02.10.25",$2.50-1g /$8 - 3.5g/ $30- 14g/ $60- 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),South Sound,7,standard
,true,,Cliffs Cannabis,414807,Issaquah,John,(425) 395-7129,orders@northshorewa.com,,last updated contact 10/18/22,,I2,I2 - Contacted/has notes,Seattle Metro,4,unknown
,true,2025-03-12,CLOUD 9,427233,Arlington,Kelly Adams is the buyer,(360) 322-6167,"kadams.cloud9@gmail.com  arlingtonmanagement.cloud9@gmail.com and Connie at cdauz.cloud9@gmail.com.  For questions regarding billing, please email mturner.cloud9@gmail.com for the fastest resolution.",https://cloud9cannaco.simplybook.me/,"10.24.2025 - Richard spoke to Kelly and gave him a run down on the plans for Fireline (Green, Blue, Red, & Gold Label). Richard explained the pricing bands and the movement we are seeing on 3.5g units in the $20 - $25 band. Explained that our list price on flower is $10.00 and that Kropz & PRC retail us and for the most part sell us out the door for $30.00 outside of PRC running Fireline Fridays where we Vendor Fund the discount. Kelly is going to take advantage of the Halloween Sale but due to budget he wants to wait to receive the delivery late next week. He like the idea of getting the $8.33 price point in exchange for pushing it out the door to customers for $25.00. He said he would want to mark it on his retail menu for like $32-$33 and then run everyday promos to have the out the door price to the customer land at $24.96. 

Emailed Kelly with change of account manager and sent my contact information 02.07.25 Called and talked to a budtender who confirmed the contact info. 02.07.25 emailed Kelly for a restock 02.27.25 - reached out for a restock 03.12.25",$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/ concentrates $8.00 across the board,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,,CLOUD 9,422504,Cheney,Kelly Adams is the buyer,(360) 322-6167,purchasing.cloud9@gmail.com,,,$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/ concentrates $8.00 across the board,I1,"I1 - Confirmed, cold lead",Eastern WA,4,standard
,true,2025-02-24,CLOUD CANNABIS,414959,Seattle,Dennis is the buyer,(253) 632 - 3793,dennis@westernbud.com,,Emailed Dennis and talked to him on the phone. He will be taking a look at the menu. - WL,,I2,I2 - Contacted/has notes,Seattle Metro,5,unknown
,true,2025-10-14,Clutch Cannabis,413803,Seattle,Ashley Ruiz is the buyer,206-707-1355,ashley@clutchcannabis.com,,10.14.25 - RM messaged Ashley to let her know I am on the Fireline Team so I can coordiante getting her samples. 3.12.20,,I4,I4 - Samples sent,Seattle Metro,5,unknown
,true,2025-02-24,Commencement Bay Cannabis - Black,Tacoma,432708,Alex Van Tuck is the buyer,(253) 327-3340,avantuck@ptceinc.com,,"Emailed Alex about getting back into his stores, he pushed us out saying they rotate out farms to keep new product in at all times 01.29.25  Emailed Alex giving him updated contact informtion and that I would love to send samples 02.07.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Other/Unclassified,6,premium
,true,2025-02-24,Commencement Bay Cannabis - Yellow,Fife,424244,Alex Van Tuck is the buyer,(253) 212-1726,avantuck@ptceinc.com,,"Emailed Alex about getting back into his stores, he pushed us out saying they rotate out farms to keep new product in at all times 01.29.25  Emailed Alex giving him updated contact informtion and that I would love to send samples 02.07.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Other/Unclassified,6,premium
,true,,Craft Wenatchee,415645,Wenatchee,,(360) 787-8225,thebackporchwenatchee@yahoo.com  purchasing@craftcannabis.com,,Contacted Mike to see if we can get back into there store and send samples,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Central WA,4,premium
,false,2025-02-25,Craft Cannabis,414065,Wenatchee,,,,,last ordered 7.2.20,,I2,"I2 - Unconfirmed, some contact",Central WA,2,unknown
,true,2025-02-25,Craft Cannabis INC,431536,Vancouver,,,purchasing@craftcannabis.com,,,,I2,I2 - Contacted/has notes,SW Washington,2,unknown
,true,2025-02-25,Craft Cannabis Mill Plain,413732,Vancouver,Linda Chan-Purchasing Manager.,,Purchasing@craftcannabis.com,,last order 5.28.21,,I5,I5 - Near order / has ordered,SW Washington,4,unknown
,true,2025-02-25,CRAFT LEAVENWORTH,085059,Dryden,,,Purchasing@craftcannabis.com,,,,I2,I2 - Contacted/has notes,Other/Unclassified,2,unknown
,true,2025-02-25,Craft Tacoma (was 420 Tacoma),423372,Tacoma,Dave Robison,,Purchasing@craftcannabis.com,,"10.14.2025 - RM Messaged Dave the Buyer and requested he give his blessing to deliver manfiested trade samples to Craft at some point next week.
last ordered 5.24.22",,I5,I5 - Near order / has ordered,South Sound,4,unknown
Prospect,true,2025-03-06,Cult Cannabis co,413729,Ferndale,Joe,(360) 933-4263,vendors@cultcannabisco.com,,Emailed with intro letter and menu link NC,$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/ concentrates $8.00 across the board,I2,"I2 - Prospect, has notes",NW Washington,6,standard
Prospect,true,2025-03-04,Cutie Judys Cannabis Co,432456,Aberdeen,scott and dave,,cutiejudyscc@gmail.com,,Sent an updated Menu and offers with contact. - WL,,I2,"I2 - Prospect, has notes",Peninsula/Islands,4,unknown
Prospect,true,2025-03-06,DANK OF AMERICA,414539,Bellingham,Michael - buyer,(360) 332-8922,DankontheGuide@gmail.com,,"Talked to Michael who said his sales are weird, his customers like the more expensive flower and mid shelf flower is not moving for him. The pre rolls did awesome so he will be placing an order next week for those and rosin. He wants us to reach back out when we launch Rosin pre rolls - he thinks those will do really well at this store 03.06.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I2,"I2 - Prospect, has notes",NW Washington,6,premium
Prospect,true,2025-03-06,DANK OF AMERICA,422817,Blaine,Don,(360) 746-8545,don@dankbankofblaine.com,,Got the updated contact info for this location - Don is the buyer but we had the wrong email. I sent email with intro letter and menu link - NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I2,"I2 - Prospect, has notes",NW Washington,6,premium
Active,true,2025-03-21,Danks Warehouse,412940,Tacoma,Britney is the Manager,(253) 503-1411,dankswarehousetacoma@gmail.com,https://dankstacoma.youcanbook.me/,I offered to do VMI if they can send me there inventory weekly and as a perk I will offer them a discount on every order.,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,R2,R2 - Active but stale (>90 days),South Sound,7,premium
Active,true,2025-02-26,DANK'S Warehouse,364799,Edmonds,"Ashley is the buyer, Trinity is the assistant manager",(425) 670-0690,dankswarehouse@gmail.com  https://danksedmonds.youcanbook.me,https://danksedmonds.youcanbook.me,Ashley does not work on Wednesdays - Emailed Ashley giving her my updated contact info and offering to make a mock order. 02.07.25 Emailed Ashley about getting some orders going. - WL,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,R2,R2 - Active but stale (>90 days),Seattle Metro,7,premium
Active,true,,Danks Warehouse Renton,417949,Renton,Jovani is the buyer,206-327-1679,Dankswarehouserenton@gmail.com https://dankswarehouserenton.youcanbook.me/,https://dankswarehouserenton.youcanbook.me/,,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,R2,R2 - Active but stale (>90 days),Seattle Metro,5,premium
,true,2025-02-11,Destination hwy 420,414503,Bremerton,Teddy is the buyer,(360)627-8754,teddydesthwy420@outlook.com,,Emaiiled Teddy with my new contact info 2.11.25 - got confirmation on correct email and buyer - emailed intro letter and menu link - we are sending samples 03.06.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Peninsula/Islands,6,premium
Active,true,2025-02-10,DIAMOND GREEN,413374,Tacoma,Heather is the buyer,253-301-3148,diamondgreentacoma@gmail.com,,Emailed Heather with my contact info 02.10.25 Called and talked to a budtender who confirmed Heather is still the buyer and email is correct 02.18.25,$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,6,standard
,false,2025-03-07,Discovery Bay Cannabis,423036,Port Townsend,,(360) 316-1379 - opens at 9am,,,called but no answer - 03.07.25,,I2,"I2 - Unconfirmed, some contact",Peninsula/Islands,3,unknown
,false,2025-03-07,DISPO 42,429044,Mukilteo,,(425) 212-9178,,,called but no answer - 03.07.25,,I2,"I2 - Unconfirmed, some contact",Seattle Metro,3,unknown
,true,2025-10-14,DOCKSIDE CANNABIS Sodo,414174,Seattle,"Sean, Aaron, Sara",,products@docksidecannabis.com,,"10.14.25 - Messaged Andy Chen (Managing Director) & Sara Fletcher (Buyer) to let them know I am no longer with Pastime and that I have joined on with Fireline as their Director of Sales. I let them both know that I would like to get them manifested trade samples and see if there might be a path to working together. 

Sent an email to get the ball rolling on orders, menu and new contact. - WL",,I5,I5 - Near order / has ordered,Seattle Metro,4,unknown
,true,2025-10-14,DOCKSIDE CANNABIS Ballard,424463,Seattle,"Sean, Aaron, Sara",,products@docksidecannabis.com,,"10.14.25 - Messaged Andy Chen (Managing Director) & Sara Fletcher (Buyer) to let them know I am no longer with Pastime and that I have joined on with Fireline as their Director of Sales. I let them both know that I would like to get them manifested trade samples and see if there might be a path to working together. 

Sent an email to get the ball rolling on orders, menu and new contact. - WL",,I5,I5 - Near order / has ordered,Seattle Metro,4,unknown
,true,2025-10-14,DOCKSIDE CANNABIS Greenlake,430807,Seattle,"Sean, Aaron, Sara",,"products@docksidecannabis.com, rcgreenlake@docksidecannabis.com",,"10.14.25 - Messaged Andy Chen (Managing Director) & Sara Fletcher (Buyer) to let them know I am no longer with Pastime and that I have joined on with Fireline as their Director of Sales. I let them both know that I would like to get them manifested trade samples and see if there might be a path to working together. 

Sent an email to get the ball rolling on orders, menu and new contact. - WL",,I5,I5 - Near order / has ordered,Seattle Metro,4,unknown
,true,2025-03-07,Elwha Peaks,430958,Port Angeles,Kenny is the buyer and Gm,store number (360) 912-7533 360-670-7043,Peaks.Manager@elwhapeaks.com,,Confirmed contact info is still Kenny - 03.07.25 - We are sending samples to see if we can get back into the store. 03.07.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Peninsula/Islands,6,premium
,true,2025-03-04,Elevation Cannabis (Tribal),434852,Tumwater,Eric,,cannabis@high-elevation.com,,"Reached ou to Eric about the brand, a new menu and contact. - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I2,I2 - Contacted/has notes,South Sound,5,premium
Active,true,,Elevation  (MJ Compact Retail Location),428838,Shelton,John Edwards,(360) 462-4025,cannabis@high-elevation.com   jedwards@high-elevation.com,,,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),South Sound,4,premium
Active,true,2025-02-13,Emerald Coast,437875,Bremerton,Dawn is the buyer,,ecc.brem@gmail.com,,"Dawn called and said she met us at the safety meeting, she wants a order expedited to her right away - they will be moving the shop so that might take a minute but there store is empty 02.13.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),Peninsula/Islands,5,premium
,true,,EMERALD LEAVES,434372,Tacoma,Nikkie Hanley-buyer,(253) 507-4591,emeraldleavesnikkie@gmail.com EmeraldLeavesTac@Gmail.com,,,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,I1,"I1 - Confirmed, cold lead",South Sound,4,premium
,true,2025-02-24,Euphorium Woodinville,414495,Woodinville,Riley is the buyer,425-408-0556,purchasing@euphorium502.com,receiving@euphorium502.com,the buyers are a couple and very family orientated,,I2,I2 - Contacted/has notes,Seattle Metro,6,unknown
,true,2025-02-24,EUPHORIUM 420 Covington,414491,Covington,Ryan and Lindsey - they are a couple - Ryan is the buyer,253.455.4582,purchasing@euphorium502.com,receiving@euphorium502.com,the buyers are a couple and very family orientated,,I2,I2 - Contacted/has notes,Seattle Metro,6,unknown
,true,2025-02-24,EUPHORIUM 420 Lynnwood,414500,Lynnwood,Daniel is the buyer,425.967.3189,purchasing@euphorium502.com,SCHEDULE DELIVERY AT   https://euphoriumlynnwood.youcanbook.me   receiving@euphorium502.com,the buyers are a couple and very family orientated,,I2,I2 - Contacted/has notes,Seattle Metro,6,unknown
,true,2025-02-24,EUPHORIUM 420 Vashon,420895,Vashon,Dexter is the buyer,206.408.7318,purchasing@euphorium502.com,receiving@euphorium502.com,the buyers are a couple and very family orientated,,I2,I2 - Contacted/has notes,Other/Unclassified,6,unknown
,true,2025-06-10,EVERGREEN MARKET - AUBURN,414714,Auburn,Peter is the buyer -,425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.,$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,2025-06-10,EVERGREEN MARKET - BELLEVUE,426125,Bellevue,Peter is the buyer -,425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.,$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,2025-06-10,EVERGREEN MARKET - KIRKLAND,357129,Kirkland,Peter is the buyer -,425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.,$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,2025-06-10,EVERGREEN MARKET - NORTH RENTON - is now Stonr Cannabis,413791,Renton,Peter is the buyer -,425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.,$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,2025-06-10,EVERGREEN MARKET - RENTON HIGHLANDS,414841,Renton,Peter is the buyer -,425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.,$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,2025-06-10,EVERGREEN MARKET - SOUTH RENTON,424747,Renton,"Peter is the buyer
Tony E is the General Manager",425-318-8898 - Directory,Peterp@theevergreenmarket.com,https://evergreenmarket.simplybook.me/v2/,"10.10.25 - RM - I reached out to Tony E who I used to work with at Smokey Point. He is the GM of the South Renton location, super cool dude from England, big Tottenham EPL fan. We've always gotten along. I am going to try to work an angle through Tony to get to Peter. Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locations. Hopefully He will place another round of orders going into next month.",$2.50-1g /$8 - 3.5g/ $32- 14g/ $64 - 28g/,I5,I5 - Near order / has ordered,Seattle Metro,7,standard
,true,,Evolve Cannabis,417469,Bellingham,Brandi,(360) 922-7749,brandi@evolvewashington.com,,10.10.25 - RM Fouad with Cannazone recently bought this location and final purchasing decisions are going to run through Fouad.,,I2,I2 - Contacted/has notes,NW Washington,4,unknown
Active,true,2025-02-12,FILLABONG,79720,Bremerton,Karla is the buyer (she works remotley),360-440-4003 - Karla cell phone,fillabongorders@gmail.com,"Mon,Tue, thur 9-3","Emailed Karla with my new contact info and got confirmation on her contact info 02.11.25 - emailed about a restock, samples and stickers added 02.112.25.",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,R2,R2 - Active but stale (>90 days),Peninsula/Islands,7,premium
Active,true,2025-02-12,FILLABONG,415211,Silverdale,Karla is the buyer (she works remotley),360-440-4003 - Karla cell phone,fillabongorders@gmail.com,"Mon,Tue, thur 9-3","Emailed Karla with my new contact info and got confirmation on her contact info 02.11.25 - emailed about a restock, samples and stickers added 02.112.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,R2,R2 - Active but stale (>90 days),Peninsula/Islands,7,premium
Active,true,2025-02-11,FIRE AND FROST CANNABIS,428276,Vancouver,"Nyssa, Kyla and Riley are buyers",(360) 213-1011,nyssa@fireandfrostcannabis.com kyla@fireandfrostcannabis.com Riley@fireandfrostcannabis.com,,Reached out with new account manager information 02.11.25 Talked to Riley who gave me all the updated emails and buyers 02.20.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),SW Washington,6,premium
,true,2025-02-19,Fire Cannabis,421738,Omak,Alexis is the buyer  Sari is the manager,509.557.6420,firecannabisco@gmail.com -Sari email  firecannabis@gmail.com is Alexis's email,,"talked to Sari who is the store manager for Omak location, she gave me updated contact info and approved the samples 02.19.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Eastern WA,6,premium
,true,2025-02-19,FIRE CANNABIS CO -,436929,Yakima,Alexis is the buyer,(509) 367-6043,firecannabis@gmail.com firecannabisco@gmail.com,,"talked to Sari who is the store manager for Omak location, she gave me updated contact info and approved the samples 02.19.25",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Eastern WA,6,premium
,true,,Fireweed Cananbis Co,436598,Snoqualmie,Josh Greene is the buyer,,fireweedpurchasing@gmail.com,Deliveries are accepted Monday - Friday 9am - 3pm - Product is brought through the side door Please confirm day of arrival,,Tier  2 on flower and tier 3 on pre rolls,I1,"I1 - Confirmed, cold lead",Seattle Metro,4,unknown
,true,,Floyds Port Angeles,414223,Port Angeles,Malina -Buyer. Sebastian -Buyer,(360) 477-4724,,,Called the store - talked with Malina who is going to put in an order in January - please call her end of December to remind her to order  - Fireline Friday at Floyds - she told us they are not taking in any new clients,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,I5,I5 - Near order / has ordered,Peninsula/Islands,4,premium
Active,true,2025-06-10,FLOYD'S CANNABIS COMPANY,422055,Pullman,Annette is the buyer,(509) 872-3080,pullman@floydscannabis.co     https://floydspullman.youcanbook.me/   Eric@floydscannabis.co is regional manager/buyer,https://floydspullman.youcanbook.me/,Reached out to see if we can get a restock of products. 06.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,R2,R2 - Active but stale (>90 days),Eastern WA,7,premium
,true,2025-06-10,FLOYDS Everett,414680,Everett,Destiny is the buyer,(425) 258-3054,everett@floydscannabis.co  Eric@floydscannabis.co is regional manager/buyer,,Reached out to see if we can get a restock of products. 06.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,I5,I5 - Near order / has ordered,Seattle Metro,6,premium
Active,true,2025-06-10,FLOYDS Sedro Woolley,422049,Sedro Woolley,Gunner is the buyer,(360) 588-4473,floydscannabisco@gmail.com   floydssedrowoolley.youcanbook.me  Eric@floydscannabis.co is regional manager/buyer,floydssedrowoolley.youcanbook.me,Offered 420 special deals and Greenline - NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/  give 20% off on all flower right now as credit at bottom.,R2,R2 - Active but stale (>90 days),NW Washington,7,premium
