account,city,pipeline_code,action_type,priority_rank,recommended_action,contact_info
SLOW BURN Yakima,Yakima,R2,At-Risk Active,100,R2 - Active but stale (>90 days). Last contact: 284 days ago. Called and talked to a Manager who confirmed our information is correct.  I alre,april@theslowburn.com / (509) 654-9700
STICKY'S,Vancouver,R2,At-Risk Active,101,R2 - Active but stale (>90 days). Last contact: 393 days ago. Emailed asking to please send samples 02.07.25,Rebekah@stickysmj.com / (360) 984-5642
T BROTHERS BUD LODGE - Only use Lifted Delivery Service,Lacey,R2,At-Risk Active,102,R2 - Active but stale (>90 days). Last contact: 333 days ago. ,buyer.tbros@gmail.com / (360)489-1342
THE BAKE SHOP,Union Gap,R2,At-Risk Active,103,R2 - Active but stale (>90 days). Last contact: 271 days ago. Talked to Filipe at prosser location who let me know that he is really needing h,prosserbakeshop@gmail.com jaime@thebakeshopcannabis.com / 509.902.1901 -Store  (509) 840 1635 - Jaime cell#
THE GREEN DOOR,Buckley,R5,At-Risk Active,104,R5 - Do Not Sell. Last contact: Never. Kush 21 does not want us selliing to this retailer,
THE HERBERY - Chakalov,Vancouver,R2,At-Risk Active,105,"R2 - Active but stale (>90 days). Last contact: 381 days ago. Left a message for Mike, emailed him all my contact info and he emailed me back ",mike.mccoy@theherberynw.com   icc@theherberynw.com / Mike's cell # 1-503-799-3013
THE HERBERY - BLVD,Vancouver,R2,At-Risk Active,106,R2 - Active but stale (>90 days). Last contact: 292 days ago. Gave Mike the $8 price point to help move the flower for his locations since the,mike.mccoy@theherberynw.com   icc@theherberynw.com / Mike's cell # 1-503-799-3013
THE HERBERY - St John,Vancouver,R2,At-Risk Active,107,R2 - Active but stale (>90 days). Last contact: 292 days ago. Gave Mike the $8 price point to help move the flower for his locations since the,mike.mccoy@theherberynw.com   icc@theherberynw.com / Mike's cell # 1-503-799-3013
THE HERBERY - 78th (H4),Vancouver,R2,At-Risk Active,108,R2 - Active but stale (>90 days). Last contact: 292 days ago. Gave Mike the $8 price point to help move the flower for his locations since the,mike.mccoy@theherberynw.com   icc@theherberynw.com / Mike's cell # 1-503-799-3013
THE HERBERY -4th,Vancouver,R2,At-Risk Active,109,R2 - Active but stale (>90 days). Last contact: 292 days ago. Gave Mike the $8 price point to help move the flower for his locations since the,mike.mccoy@theherberynw.com   icc@theherberynw.com / Mike's cell # 1-503-799-3013
THE JOINT,Seattle,R2,At-Risk Active,110,R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.10.2025 - RM messaged Shy Sadis the Owner to try to schedule a meeting to get,thejointseattle@gmail.com / (206) 632-2513
THE KUSHERY Cathcart,Everett,R2,At-Risk Active,111,"R2 - Active but stale (>90 days). Last contact: 166 days ago. Reached out to Ang about a restock on flower, pre rolls and dabs 06.04.25 - Emai",Angkusheryevergreen@gmail.com thekusheryjosh@gmail.com - Josh is the owner of all Kushery locations / Store - (425) 337-5145  (Josh Shade - Owner - Cell # (425) 633-7515)
THE KUSHERY Evergreen way Dealership,Everett,R2,At-Risk Active,112,R2 - Active but stale (>90 days). Last contact: 166 days ago. Reached out to Dom about a restock on flower and pre rolls 06.04.25 - he let me ,kusheryevergreen@gmail.com / (425) 259-7958
THE KUSHERY LFP,Lake Forest Park,R2,At-Risk Active,113,R2 - Active but stale (>90 days). Last contact: 166 days ago. Alaura gave me her updated contact info as she is still the buyer 02.17.25 - Rea,Sarahfkushery@gmail.com / (206) 403-1106
THE KUSHERY Monroe,Snohomish,R2,At-Risk Active,114,"R2 - Active but stale (>90 days). Last contact: 166 days ago. Nick reached out about doing a case wrap, I sent the info to Keith to see if he ",monroekushery23@mail.com / (360) 217-8951
THE KUSHERY Clearview,Snohomish,R2,At-Risk Active,115,"R2 - Active but stale (>90 days). Last contact: 166 days ago. Reached out to Marly for an order, she let me put together a mock order for her ",marlywkushery@mail.com / (360) 863-3256
THE KUSHERY Stanwood,Stanwood,R2,At-Risk Active,116,R2 - Active but stale (>90 days). Last contact: 166 days ago. Called and talked to a budtender who confirmed that the contact info I have is c,kristenkusherystanwood@mail.com / (360) 939-0400
Clear Mind Cannabis (THE PACIFIC OUTPOST),Pasco,R2,At-Risk Active,117,R2 - Active but stale (>90 days). Last contact: Never. ,purchasing@thepacificoutpost.com
The Tribal Joint - Tribal,Darrington,R2,At-Risk Active,118,R2 - Active but stale (>90 days). Last contact: 373 days ago. Talked to a budtender who confirmed that Demi is still the buyer and email is co,thetribaljoint@gmail.com / (360) 436-2835
THE TOP SHELF,Airway Heights,R2,At-Risk Active,119,R2 - Active but stale (>90 days). Last contact: 338 days ago. ,thetopshelf509@gmail.com
THE VAULT Seattle (HerbN Elements),Seattle,R2,At-Risk Active,120,R2 - Active but stale (>90 days). Last contact: 389 days ago. Emailed Chase his final invoice for Spokane location and gave him updated contac,sales@thevaultcannabis.com Dani@thevaultcannabis.com / (206) 535-8769 call (425)322-3211 for payment queries
THE VAULT Spokane,Spokane,R2,At-Risk Active,121,R2 - Active but stale (>90 days). Last contact: 389 days ago. Emailed Chase his final invoice for Spokane location and gave him updated contac,sales@thevaultcannabis.com Dani@thevaultcannabis.com / (509) 315-9262  call (425)322-3211 for payment queries
THE VAULT CANNABIS Lake Stevens,Lake Stevens,R2,At-Risk Active,122,R2 - Active but stale (>90 days). Last contact: 389 days ago. Emailed Chase his final invoice for Spokane location and gave him updated contac,sales@thevaultcannabis.com Dani@thevaultcannabis.com / 425-248-8559 call (425)322-3211 for payment queries
THE VAULT CANNABIS Silvana,Stanwood,R2,At-Risk Active,123,R2 - Active but stale (>90 days). Last contact: 389 days ago. Emailed Chase his final invoice for Spokane location and gave him updated contac,sales@thevaultcannabis.com Dani@thevaultcannabis.com / (360) 652-5060 call (425)322-3211 for payment queries
"TJ'S CANNABIS BUDS, EDIBLES, OILS & MORE",Shelton,R2,At-Risk Active,124,R2 - Active but stale (>90 days). Last contact: 386 days ago. I talked to a budtender who confirmed the buyer and email are correct 02.14.25,michelle@tjscannabis.com / 360-427-2990
WALLA WALLA WEEDERY,Walla Walla,R2,At-Risk Active,125,R2 - Active but stale (>90 days). Last contact: 270 days ago. Reached out to Shawn about how FIreLIne is doing in there stores. He said everyt,wallawallaweedery@gmail.com / (509) 876-4279 - store - shawns cell # 509-200-8241
WESTSIDE420 RECREATIONAL,Longview,R2,At-Risk Active,126,R2 - Active but stale (>90 days). Last contact: 291 days ago. Reached out to see if she is ready for a restock and to send back any old flower,westside420recreational@yahoo.com / (360) 270-0046
Zips Everett (BLOOM) - Pretty sure they are Kush 21 now,Everett,R2,At-Risk Active,127,R2 - Active but stale (>90 days). Last contact: 362 days ago. Likes to commuicate via text message - Called and talked to Blaine today who let,Blaine@zipscannabis.com purchasing@zipscannabis.com Intake@zipscannabis.com tre@zipscannabis.com Alejandra@zipscannabis.com Stefanie@zipscannabis.com / 253-999-7690 - Blaine's cell number Tre cell # 253-348-0719
Zips Hwy 512 (BLOOM),Tacoma,R2,At-Risk Active,128,R2 - Active but stale (>90 days). Last contact: 394 days ago. Likes to commuicate via text message - Called and talked to Blaine today who let,Blaine@zipscannabis.com purchasing@zipscannabis.com Intake@zipscannabis.com tre@zipscannabis.com Alejandra@zipscannabis.com Stefanie@zipscannabis.com / 253-999-7690 - Blaine's cell number
ZIPS CANNABIS Downtown,Tacoma,R2,At-Risk Active,129,R2 - Active but stale (>90 days). Last contact: 394 days ago. Likes to commuicate via text message - Called and talked to Blaine today who let,Blaine@zipscannabis.com purchasing@zipscannabis.com Intake@zipscannabis.com tre@zipscannabis.com Alejandra@zipscannabis.com Stefanie@zipscannabis.com / 253-999-7690 - Blaine's cell number
ZIPS CANNABIS 6th,Tacoma,R2,At-Risk Active,130,R2 - Active but stale (>90 days). Last contact: 394 days ago. Likes to commuicate via text message - Called and talked to Blaine today who let,Blaine@zipscannabis.com purchasing@zipscannabis.com Intake@zipscannabis.com tre@zipscannabis.com Alejandra@zipscannabis.com Stefanie@zipscannabis.com / 253-999-7690 - Blaine's cell number
Zips Puyallup 176th,Puyallup,R2,At-Risk Active,131,R2 - Active but stale (>90 days). Last contact: 347 days ago. This store is opening april 1st and they would like a rushed order 03.25.25,Blaine@zipscannabis.com purchasing@zipscannabis.com Intake@zipscannabis.com tre@zipscannabis.com Alejandra@zipscannabis.com Stefanie@zipscannabis.com / 253-999-7690 - Blaine's cell number  Tre's cell # 253-348-0719
BAYSHORE CANNABIS CO,Shelton,R2,Quick Win,1,Follow up — Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 ,buyer@bayshorecannabis.com / (360) 426-0675
BELFAIR CANNABIS COMPANY,Belfair,I4,Quick Win,2,Follow up — Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 ,buyer@bayshorecannabis.com / (360) 277-4236
CLOUD 9,Arlington,I5,Quick Win,3,"Follow up — 10.24.2025 - Richard spoke to Kelly and gave him a run down on the plans for Fireline (Green, Blue, Red, & Gold Label). ","kadams.cloud9@gmail.com  arlingtonmanagement.cloud9@gmail.com and Connie at cdauz.cloud9@gmail.com.  For questions regarding billing, please email mturner.cloud9@gmail.com for the fastest resolution. / (360) 322-6167"
EVERGREEN MARKET - AUBURN,Auburn,I5,Quick Win,4,Follow up — Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locat,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - BELLEVUE,Bellevue,I5,Quick Win,5,Follow up — Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locat,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - KIRKLAND,Kirkland,I5,Quick Win,6,Follow up — Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locat,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - NORTH RENTON - is now Stonr Cannabis,Renton,I5,Quick Win,7,Follow up — Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locat,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - RENTON HIGHLANDS,Renton,I5,Quick Win,8,Follow up — Reached out to Peter to off him a lowered pricing to help entice him to place another order for all but the Auburn locat,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - SOUTH RENTON,Renton,I5,Quick Win,9,Follow up — 10.10.25 - RM - I reached out to Tony E who I used to work with at Smokey Point. He is the GM of the South Renton locati,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
FILLABONG,Bremerton,R2,Quick Win,10,"Follow up — Emailed Karla with my new contact info and got confirmation on her contact info 02.11.25 - emailed about a restock, samp",fillabongorders@gmail.com / 360-440-4003 - Karla cell phone
FILLABONG,Silverdale,R2,Quick Win,11,"Follow up — Emailed Karla with my new contact info and got confirmation on her contact info 02.11.25 - emailed about a restock, samp",fillabongorders@gmail.com / 360-440-4003 - Karla cell phone
HIGH-5 CANNABIS,Vancouver,R2,Quick Win,12,Follow up — Reached out to Nathon to see how the sale is going and let him know we are excited to see how the new pricing is going t,orders@high5cannabis.com  nathon@high5cannabis.com / (360) 947-5404
High 5 Cannabis,Stevenson,R2,Quick Win,13,Follow up — Reached out to Nathon to see how the sale is going and let him know we are excited to see how the new pricing is going t,orders@high5cannabis.com  nathon@high5cannabis.com / (509) 219-5038
KALEAFA,Aberdeen,R2,Quick Win,14,"Follow up — David emailed me with all the updated store contacts.  as I did the same 02.10.25. Talked to David, going to offer a sal",Aberdeenvendors@kaleafa.com Cassie@Kaleafa.com / (360) 637-8018
KALEAFA,Des Moines,R2,Quick Win,15,"Follow up — David emailed me with all the updated store contacts.  as I did the same 02.10.25. Talked to David, going to offer a sal",david@kaleafa.com desmoinesvendors@kaleafa.com / (206) 460-0503
(empty),,N/A,Dead Record,1,No retailer name,
(empty),,N/A,Dead Record,2,No retailer name,
(empty),,N/A,Dead Record,3,No retailer name,
(empty),,N/A,Dead Record,4,No retailer name,
(empty),,N/A,Dead Record,5,No retailer name,
(empty),,N/A,Dead Record,6,No retailer name,
(empty),,N/A,Dead Record,7,No retailer name,
(empty),,N/A,Dead Record,8,No retailer name,
(empty),,N/A,Dead Record,9,No retailer name,
(empty),,N/A,Dead Record,10,No retailer name,
(empty),,N/A,Dead Record,11,No retailer name,
(empty),,N/A,Dead Record,12,No retailer name,
(empty),,N/A,Dead Record,13,No retailer name,
(empty),,N/A,Dead Record,14,No retailer name,
(empty),,N/A,Dead Record,15,No retailer name,
(empty),,N/A,Dead Record,16,No retailer name,
(empty),,N/A,Dead Record,17,No retailer name,
(empty),,N/A,Dead Record,18,No retailer name,
(empty),,N/A,Dead Record,19,No retailer name,
(empty),,N/A,Dead Record,20,No retailer name,
(empty),,N/A,Dead Record,21,No retailer name,
(empty),,N/A,Dead Record,22,No retailer name,
(empty),,N/A,Dead Record,23,No retailer name,
(empty),,N/A,Dead Record,24,No retailer name,
(empty),,N/A,Dead Record,25,No retailer name,
(empty),,N/A,Dead Record,26,No retailer name,
(empty),,N/A,Dead Record,27,No retailer name,
(empty),,N/A,Dead Record,28,No retailer name,
(empty),,N/A,Dead Record,29,No retailer name,
(empty),,N/A,Dead Record,30,No retailer name,
(empty),,N/A,Dead Record,31,No retailer name,
(empty),,N/A,Dead Record,32,No retailer name,
(empty),,N/A,Dead Record,33,No retailer name,
(empty),,N/A,Dead Record,34,No retailer name,
(empty),,N/A,Dead Record,35,No retailer name,
(empty),,N/A,Dead Record,36,No retailer name,
(empty),,N/A,Dead Record,37,No retailer name,
(empty),,N/A,Dead Record,38,No retailer name,
(empty),,N/A,Dead Record,39,No retailer name,
(empty),,N/A,Dead Record,40,No retailer name,
(empty),,N/A,Dead Record,41,No retailer name,
(empty),,N/A,Dead Record,42,No retailer name,
(empty),,N/A,Dead Record,43,No retailer name,
(empty),,N/A,Dead Record,44,No retailer name,
(empty),,N/A,Dead Record,45,No retailer name,
(empty),,N/A,Dead Record,46,No retailer name,
(empty),,N/A,Dead Record,47,No retailer name,
(empty),,N/A,Dead Record,48,No retailer name,
(empty),,N/A,Dead Record,49,No retailer name,
(empty),,N/A,Dead Record,50,No retailer name,
Floyds Port Angeles,Port Angeles,I5,Needs Enrichment,1,Missing: email,(360) 477-4724
ORIGINS CANNABIS,Seattle,I5,Needs Enrichment,2,"Missing: phone, pricing, buyer name",virnika.franklin@originscorporate.com
SATIVA SISTERS,Spokane,I5,Needs Enrichment,3,"Missing: phone, pricing, buyer name",sativasisters1@gmail.com
THE GREEN DOOR,Buckley,R5,Needs Enrichment,4,"Missing: email, phone",
CASCADE HERB COMPANY,Bellingham,I4,Needs Enrichment,5,"Missing: pricing, buyer name",buyer.cascadeherb@gmail.com   cascadeherb@gmail.com / (360)778-2357 (360)927-9255
Craft Wenatchee,Wenatchee,I4,Needs Enrichment,6,Missing: buyer name,thebackporchwenatchee@yahoo.com  purchasing@craftcannabis.com / (360) 787-8225
Freeland Cannabis Co,Freeland,I4,Needs Enrichment,7,"Missing: email, pricing",(360) 544-8440
GREENHAND,Spokane,I4,Needs Enrichment,8,Missing: buyer name,greenhandspokane@gmail.com / (509) 919-3470
Herb's House,Seattle,I4,Needs Enrichment,9,"Missing: email, phone, pricing, buyer name",
Lucky Cannabis (bud nation),Seattle,I4,Needs Enrichment,10,Missing: buyer name,Seattle@LuckyCannabisShops.com / 206.588.2441
"MOUNT BAKER RETAIL PARTNERS, LLC",Quincy,I4,Needs Enrichment,11,"Missing: email, phone, pricing, buyer name",
MUFFYS POT SHOP,Port Angeles,I4,Needs Enrichment,12,"Missing: email, pricing, buyer name",360.504.1966
NIRVANA CANNABIS COMPANY,East Wenatchee,I4,Needs Enrichment,13,"Missing: phone, pricing, buyer name",wenatchee@nirvanacannabis.company vendors@nirvanacannabis.company
NIRVANA CANNABIS COMPANY,Otis Orchards,I4,Needs Enrichment,14,"Missing: phone, pricing, buyer name",Spokane@nirvanacannabis.company vendors@nirvanacannabis.company
NIRVANA CANNABIS COMPANY,Richland,I4,Needs Enrichment,15,"Missing: phone, pricing, buyer name",Tricities@nirvanacannabis.company vendors@nirvanacannabis.company
OZ,Seattle,I4,Needs Enrichment,16,"Missing: email, phone, pricing, buyer name",
Seattle Trees Collective,Seattle,I4,Needs Enrichment,17,"Missing: email, phone, pricing, buyer name",
STARBUDS,Bellingham,I4,Needs Enrichment,18,"Missing: email, phone, pricing",
MR. DOOBEES,Seaview,I3,Needs Enrichment,19,"Missing: phone, pricing, buyer name",mrdoobees@gmail.com
THE JOINT,Everett,I3,Needs Enrichment,20,Missing: buyer name,everett@thejointllc.com / (425) 374-1000
