retailer,license,city,region,status,confirmed,pipeline_code,pipeline_label,completeness_score,price_tier,last_contacted,has_email,has_phone,has_pricing,has_buyer_name,is_duplicate
Green lady Eastside,415130,Olympia,South Sound,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-28,Yes,Yes,No,Yes,No
Green lady marijuana,423145,Kalama,SW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-28,Yes,No,No,Yes,No
Green lady Marijuana,422578,Lynnwood,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-28,Yes,No,No,Yes,No
Green lady Westside,416540,Olympia,South Sound,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-28,Yes,Yes,No,Yes,No
Green leaf,414918,Custer,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
GREEN LIFE CANNABIS,414755,Wenatchee,Central WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-22,Yes,Yes,Yes,Yes,No
GREEN ROADS CANNABIS,435732,Moses Lake,Central WA,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-03-13,Yes,Yes,Yes,Yes,No
GREEN ROOM OH INC.,422103,Oak Harbor,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-02-06,Yes,Yes,Yes,Yes,No
GREEN RUSH INVESTMENT,422027,Auburn,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
GREEN STOP MT. BAKER,413801,Deming,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Green Tiki Cannabis,081400,Kingston,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Green Tiki Cannabis,414931,Vancouver,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
GREEN2GO,410273,Kennewick,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-05,Yes,No,No,Yes,No
GREEN2GO PASCO,437561,Pasco,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-05,Yes,No,No,Yes,No
GREEN2GO TOKIO,422655,Sprague,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-05,Yes,No,No,Yes,No
GREENER DAZE CANNABIS,421789,Longview,SW Washington,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-11,Yes,Yes,No,Yes,No
GREENFIELD COMPANY CANNABIS MERCANTILE,414356,Clarkston,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-09-23,Yes,No,Yes,Yes,No
GREENHAND,420898,Spokane,Eastern WA,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-11,Yes,Yes,Yes,No,No
Greenhouse Group LLC,420407,Kelso,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
GREENLIGHT,415112,Millwood,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-21,Yes,Yes,Yes,Yes,No
GREENS ON GOLD,414767,Centralia,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
GREENSIDE,414295,Des Moines,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-24,Yes,Yes,No,Yes,No
GREENSIDE RECREATIONAL,436502,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,5,unknown,2026-02-24,Yes,Yes,No,Yes,No
GREENVIEW CANNABIS,420400,Longview,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-02-13,Yes,Yes,Yes,Yes,No
GREENWAY MARIJUANA,413541,Port Orchard,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-04,Yes,Yes,Yes,Yes,No
GREENWORKS N.W.,413428,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-24,Yes,Yes,Yes,Yes,No
GROWERS OUTLET,415124,South Bend,Peninsula/Islands,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-20,Yes,Yes,Yes,Yes,No
Gypsy Green,421900,Chehalis,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
GYPSY GREEN,421491,Olympia,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
HANGAR 420 Lake RD,422461,Lynnwood,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",5,standard,,Yes,Yes,Yes,Yes,No
HANGAR 420 HWY 99,415238,Lynnwood,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-25,Yes,Yes,Yes,Yes,No
HANGAR 420 SNOHOMISH,421873,Snohomish,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-30,Yes,Yes,Yes,Yes,No
Hangar 420 Clearview,421667,Lynnwood,Seattle Metro,Temp Closed,true,R1,R1 - Temp Closed,6,standard,2025-06-30,Yes,No,Yes,Yes,No
HAPPY TIME,354876,Yakima,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-04-02,Yes,Yes,Yes,Yes,No
HAPPY TIME LLC 2,422781,Mount Vernon,NW Washington,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-04-02,Yes,Yes,Yes,Yes,No
HAPPY TIME LLC 3,422138,Pullman,Eastern WA,(blank),true,I4,I4 - Samples sent,6,unknown,2025-02-26,Yes,Yes,Yes,Yes,No
HAPPY TREES,424273,Cle Elum,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
HAPPY TREE,436321,Prosser,Eastern WA,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HASHTAG Everett,415098,Everett,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-02-05,Yes,Yes,Yes,Yes,No
HASHTAG Seattle,430562,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-02-05,Yes,Yes,Yes,Yes,No
Hashtag cannabis,430254,Redmond,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-02-05,Yes,Yes,Yes,Yes,No
Have A Heart - Bothell,423536,Bothell,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-24,Yes,No,No,Yes,No
Have a Heart Skyway,415333,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-24,Yes,Yes,No,Yes,No
Have a Heart Belltown,423379,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-24,Yes,Yes,No,Yes,No
Have a Heart Greenwood,421409,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-24,Yes,Yes,No,Yes,No
Have A Heart - Ocean Shores,413798,Ocean Shores,Peninsula/Islands,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,2025-02-24,No,No,No,No,No
Herb's House,402039,Seattle,Seattle Metro,(blank),false,I4,I4 - Unconfirmed but samples sent,1,unknown,,No,No,No,No,No
HERBAL E SCENTS,411970,Colville,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-25,Yes,No,No,No,No
Herbal Healing,420390,Eastsound,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HERBAL NATION,413683,Bothell,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-03-06,Yes,Yes,Yes,Yes,No
HERBAN MARKET,427457,Port Orchard,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-04-02,Yes,Yes,Yes,Yes,No
HIGH-5 CANNABIS,421702,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
High 5 Cannabis,427533,Stevenson,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
HIGH END MARKET PLACE,429699,Vancouver,SW Washington,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-03-07,Yes,No,No,No,No
HIGH LIFE CANNABIS,430097,Nine Mile Falls,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HIGH SOCIETY ANACORTES,413534,Anacortes,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,1,unknown,,No,Yes,No,No,No
HIGH SOCIETY,414430,Everett,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-03-06,Yes,Yes,Yes,Yes,No
Higher Leaf Bel - Red - Require 48hrs notice for before delivery,425068,Bellevue,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-10-10,Yes,Yes,No,Yes,No
Higher Leaf Factoria,421777,Bellevue,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-03-03,Yes,Yes,No,Yes,No
Higher leaf Eastside,423000,Bellevue,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-03-03,Yes,Yes,No,Yes,No
Higher leaf - Kirkland,422218,Kirkland,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-03-03,Yes,Yes,No,Yes,No
HOUSE OF CANNABIS - TACOMA,434402,Tacoma,South Sound,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-03-06,Yes,No,No,Yes,No
HOUSE OF CANNABIS - TONASKET,422454,Tonasket,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-03-14,Yes,No,No,No,No
HOUSE OF CANNABIS - TWISP,400085,Twisp,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-03-14,Yes,No,No,No,No
HOUSE OF CANNABIS - WHIDBEY,422457,Greenbank,Other/Unclassified,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-03-14,Yes,No,No,No,No
hwy 420,413843,Bremerton,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HWY 420,437434,Poulsbo,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HWY 420,413427,Silverdale,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
HYPEHERBALLY,425498,Lynnwood,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
I-90 Greenhouse (it is lit),423203,Ritzville,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
III KING COMPANY,414750,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-05-07,Yes,Yes,Yes,Yes,No
ISLAND HERB,413727,Freeland,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
ISSAQUAH CANNABIS COMPANY,414867,Issaquah,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
JET CANNABIS,414753,Everett,Seattle Metro,(blank),true,I4,I4 - Samples sent,4,premium,,Yes,No,Yes,Yes,No
KAHD HOLDING,437823,Tukwila,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
KALEAFA,414345,Aberdeen,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-03-20,Yes,Yes,Yes,Yes,No
KALEAFA,429441,Des Moines,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-03-20,Yes,Yes,Yes,Yes,No
KALEAFA,417643,Oak Harbor,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-03-20,Yes,Yes,Yes,Yes,No
KARMA CANNABIS,421168,Sequim,Peninsula/Islands,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,No,No,Yes,No
KING CRONIC,425925,Yelm,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
KITSAP CANNABIS PORT ORCHARD,435420,Port Orchard,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-24,Yes,Yes,Yes,Yes,No
KITSAP CANNABIS Bremerton,437783,Bremerton,Peninsula/Islands,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,,No,No,No,No,No
KUSH Kirkland,420336,Kirkland,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,premium,,Yes,Yes,Yes,Yes,No
KUSHKLUB,430737,Shoreline,Seattle Metro,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-13,Yes,Yes,Yes,Yes,No
KUSH POINTE,421630,Mukilteo,Seattle Metro,(blank),false,I4,I4 - Unconfirmed but samples sent,6,premium,2025-03-05,Yes,Yes,Yes,Yes,No
KUSH 21 128th,425493,Everett,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",6,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
KUSH 21 BUCKLEY LLC,424751,Buckley,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,unknown,2025-09-18,Yes,Yes,Yes,Yes,No
Kush 21 Burien - (LIVING WELL ENTERPRISES),420741,Burien,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,unknown,2025-10-10,Yes,Yes,Yes,Yes,No
Kush 21 Everett - Evergreen way     (KUSHMAN),426731,Everett,Seattle Metro,Active,false,R2,R2 - Active but stale (>90 days),7,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
Kush 21 Lynnwood.  KUSHMAN,421552,Lynnwood,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",7,unknown,2025-07-09,Yes,Yes,Yes,Yes,No
Kush 21 Mukilteo.  KUSHMAN'S,431271,Mukilteo,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",7,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
Lidz Cannabis  Kush 21 North (SAMUEL ENTERPRISES LLC),414520,Everett,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,7,unknown,2025-07-09,Yes,Yes,Yes,Yes,No
Kush 21 SODO,423754,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),5,standard,2025-09-19,Yes,No,Yes,Yes,No
Kush 21 Tacoma  (GREEN CORNERS TACOMA LLC),420785,Tacoma,South Sound,(blank),true,I2,I2 - Contacted/has notes,7,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
Kush 21 Yakima. LOCAL ROOTS,422336,Yakima,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,7,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
Kush 21 VASHON TIMES,414454,Vashon Island,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",4,unknown,,Yes,Yes,Yes,Yes,No
Buddy's is now Kush 21,413893,Renton,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,1,unknown,,No,No,Yes,No,No
KUSHMART SOUTH EVERETT,416102,Everett,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,7,premium,2025-07-09,Yes,Yes,Yes,Yes,No
LEGAL MARIJUANA SUPERSTORE,417880,Port Orchard,Peninsula/Islands,(blank),true,I5,I5 - Near order / has ordered,5,premium,,Yes,Yes,Yes,Yes,No
LIDZ CANNABIS  South,421698,Spokane,Eastern WA,Active,false,R2,R2 - Active but stale (>90 days),5,standard,2025-02-06,No,No,Yes,Yes,No
LIDZ CANNABIS North,414664,Spokane,Eastern WA,Active,false,R2,R2 - Active but stale (>90 days),5,standard,2025-02-06,No,No,Yes,Yes,No
LIDZ CANNABIS  Tacoma,442174,Tacoma,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,No,No,Yes,No
LOCAL AMSTERDAM,429803,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
LOCALAMSTER,414243,Longview,SW Washington,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-27,Yes,Yes,Yes,Yes,No
LOCALS CANNA HOUSE - now Kush 21,414823,Spokane Valley,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,No,No,Yes,No
LONGVIEW FREEDOM MARKET,413544,Longview,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
LOVELY BUDS DIVISION,410798,Spokane,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
LOVELY BUDS NORTH,412490,Spokane,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
LOVING FARMS,412370,Mount Vernon,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-07-09,Yes,Yes,Yes,Yes,No
LUCID,414963,Lacey,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
LUCID,437262,Olympia,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
"LUCID AUBURN, 21+ CANNABIS, 21+ MARIJUANA",422194,Auburn,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-07-10,Yes,Yes,Yes,Yes,No
LUCID PUYALLUP,352673,Puyallup,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-07-10,Yes,Yes,Yes,Yes,No
Lucky Cannabis (bud nation),415203,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,4,premium,,Yes,Yes,Yes,No,No
LUCKY LEAF,422442,Spokane,Eastern WA,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-21,Yes,Yes,No,Yes,No
Lux Pot Shop - Ballard,414532,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,7,unknown,2025-10-13,Yes,Yes,Yes,Yes,No
Lux Pot Shop - Lake City Way,414160,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,7,unknown,2025-10-13,Yes,Yes,Yes,Yes,No
Lux Pot Shop - Belltown,434272,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,7,unknown,2025-10-13,Yes,Yes,Yes,Yes,No
Magic Tree Collective 206,421151,Pullman,Eastern WA,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MAGIC TREE COLLECTIVE 206,437368,Pullman,Eastern WA,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Main street Marijuana Downtown,414876,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-06-18,Yes,No,Yes,Yes,No
MAIN STREET MARIJUANA ORCHARDS,414350,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-06-18,Yes,No,Yes,Yes,No
MAIN STREET MARIJUANA EAST,421805,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,unknown,2025-06-18,Yes,Yes,Yes,Yes,No
MAIN STREET MARIJUANA NORTH Hazel Dell,435081,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-06-18,Yes,No,Yes,Yes,No
MARGIES'S POT SHOP,413414,Bingen,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),2,premium,,Yes,No,Yes,No,No
Marijuana club 99,426895,Everett,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,,No,No,No,No,No
MARIJUANA CLUB 99 LLC,367339,Sultan,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MARIJUANA MART,428846,Rochester,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-04-02,Yes,Yes,Yes,Yes,No
MARLEY 420,435092,Covington,Seattle Metro,(blank),true,I4,I4 - Samples sent,7,premium,2025-02-20,Yes,Yes,Yes,Yes,No
MARY JANE'S,417646,Spokane,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
MARY JANES,414864,Moses Lake,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
MARY MART INC,424311,Tacoma,South Sound,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-02-11,Yes,Yes,Yes,Yes,No
Mountain High Cannabis (MHC),435889,Republic,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),3,premium,,Yes,No,Yes,Yes,No
Millers Marijuana,415001,Elma,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MILLERS MARIJUANA,437305,Elma,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MISTER BUDS,414735,Port Angeles,Peninsula/Islands,(blank),true,I5,I5 - Near order / has ordered,4,unknown,,Yes,Yes,No,Yes,No
MJ Long (Green Sky Seattle),414789,Vancouver,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MJ's Pot shop,415314,Pullman,Eastern WA,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MODERN CREATIONS LLC,422951,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MOLECULE,426443,Davenport,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
"MOUNT BAKER RETAIL PARTNERS, LLC",422361,Quincy,Central WA,(blank),false,I4,I4 - Unconfirmed but samples sent,1,unknown,,No,No,No,No,No
"MOUNT BAKER RETAIL PARTNERS, LLC",422981,Tukwila,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MR. DOOBEES,424190,Seaview,Other/Unclassified,(blank),true,I3,I3 - Active dialogue/meeting,3,unknown,,Yes,No,No,No,No
MR. GREENS CANNABIS,427850,Lake Forest Park,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
MUFFYS POT SHOP,413930,Port Angeles,Peninsula/Islands,(blank),false,I4,I4 - Unconfirmed but samples sent,2,unknown,,No,Yes,No,No,No
NATURAL BLESSING CANNABIS,423390,Spanaway,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-01-31,Yes,Yes,Yes,Yes,No
NATURAL CARE,435728,Tacoma,South Sound,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-02-03,Yes,Yes,Yes,Yes,No
NATURAL GREEN,421687,Davenport,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
NATURE'S GIFTS,414181,Sequim,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-04-03,Yes,Yes,Yes,Yes,No
NIMBIN FARM,415658,Seattle,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,Yes,No,No
NIRVANA CANNABIS COMPANY,434100,East Wenatchee,Central WA,(blank),true,I4,I4 - Samples sent,3,unknown,2025-02-12,Yes,No,No,No,No
NIRVANA CANNABIS COMPANY,427666,Otis Orchards,Other/Unclassified,(blank),true,I4,I4 - Samples sent,3,unknown,2025-02-12,Yes,No,No,No,No
NIRVANA CANNABIS COMPANY,424951,Richland,Eastern WA,(blank),true,I4,I4 - Samples sent,3,unknown,2025-02-12,Yes,No,No,No,No
Nikxna Cannabis,430474,Omak,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),2,premium,,Yes,No,Yes,No,No
NORTH BAY MARIJUANA,413407,Allyn,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",3,premium,,Yes,No,Yes,Yes,No
NORTHWEST CANNABIS CONNECTION,423492,Puyallup,South Sound,Prospect,true,I4,"I4 - Prospect, samples sent",6,standard,2025-02-26,Yes,Yes,Yes,Yes,No
Northwind Cannabis,437916,Anacortes,NW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,No,No,Yes,No
Novel tree,414656,Bremerton,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
NW Chronicles,415634,Gig Harbor,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
NXNW RETAIL LLC / CANNABIS AND GLASS,428760,Liberty Lake,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),5,standard,2025-05-21,Yes,No,Yes,Yes,No
NXNW RETAIL LLC/CANNABIS & GLASS,082587,Millwood,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-21,Yes,No,Yes,Yes,No
NXNW RETAIL LLC/CANNABIS & GLASS,360307,Spokane,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-21,Yes,Yes,Yes,Yes,No
OCEAN GREENS,428942,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-04-02,Yes,Yes,Yes,Yes,No
OLD TOBY,413551,Chehalis,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
OLYMPIA WEED COMPANY,427769,Olympia,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
ONE HIT WONDER CANNABIS,422466,Port Townsend,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
ORCHARDS CANNABIS MARKET,83380,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),5,standard,,Yes,Yes,Yes,Yes,No
ORIGINS,425507,Redmond,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-02-21,Yes,No,No,No,No
ORIGINS CANNABIS,437401,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,3,unknown,2025-02-21,Yes,No,No,No,No
OUNCE KING CANNABIS,414573,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
OZ,415348,Seattle,Seattle Metro,(blank),false,I4,I4 - Unconfirmed but samples sent,1,unknown,,No,No,No,No,No
PAPER AND LEAF,414812,Bainbridge Island,Peninsula/Islands,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
PEND OREILLE CANNABIS CO,76189,Ione,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
PEND OREILLE CANNABIS CO.,433404,Newport,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
PIECE OF MIND CANNABIS,421616,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,3,unknown,,Yes,No,No,Yes,No
POM CANNABIS PULLMAN,417114,Pullman,Eastern WA,(blank),false,I2,"I2 - Unconfirmed, some contact",5,premium,,Yes,Yes,Yes,Yes,No
POT SHOP,079013,Seattle,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
POT ZONE,415229,Port Orchard,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
POT ZONE OF VANCOUVER,361259,Vancouver,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
PRC,421084,Arlington,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
